specie,polygon,demand
Agave lechuguilla,2,248
Agave salmiana,2,1179
Agave scabra,2,248
Agave striata,2,248
Opuntia cantabrigiensis,2,293
Opuntia engelmani,2,225
Opuntia robusta,2,436
Opuntia streptacanta,2,383
Prosopis laevigata,2,518
Yucca filifera,2,158
Agave lechuguilla,3,264
Agave salmiana,3,1254
Agave scabra,3,264
Agave striata,3,264
Opuntia cantabrigiensis,3,312
Opuntia engelmani,3,240
Opuntia robusta,3,463
Opuntia streptacanta,3,408
Prosopis laevigata,3,551
Yucca filifera,3,168
Agave lechuguilla,4,264
Agave salmiana,4,1254
Agave scabra,4,264
Agave striata,4,264
Opuntia cantabrigiensis,4,312
Opuntia engelmani,4,240
Opuntia robusta,4,463
Opuntia streptacanta,4,408
Prosopis laevigata,4,551
Yucca filifera,4,168
Agave lechuguilla,18,234
Agave salmiana,18,1115
Agave scabra,18,234
Agave striata,18,234
Opuntia cantabrigiensis,18,277
Opuntia engelmani,18,213
Opuntia robusta,18,412
Opuntia streptacanta,18,362
Prosopis laevigata,18,490
Yucca filifera,18,149
