,Especie,Nombre común,HA,% POR HA,N° de individuos 75 ha,Altura (cm),Capacidad en la camioneta
0,Agave lechuguilla,Lechuguilla,33,6.297709924,2475,30-50,VAN EN LA CAMIONETA
1,Agave salmiana,Maguey verde,157,29.96183206,11775,30-50,VAN EN LA CAMIONETA
2,Agave scabra,Maguey azul,33,6.297709924,2475,15-25,VAN EN LA CAMIONETA
3,Agave striata,Maguey verde,33,6.297709924,2475,20-30,VAN EN LA CAMIONETA
4,Opuntia cantabrigiensis,Cuijo,39,7.442748092,2925,20-30,1 REJA
5,Opuntia engelmani,Cuijo,30,5.72519084,2250,20-30,1 REJA
6,Opuntia robusta,Tapón,58,11.06870229,4350,20-30,2 REJAS
7,Opuntia streptacanta,Cardón,51,9.732824427,3825,20-35,2 REJAS
8,Prosopis laevigata,Mezquite,69,13.16793893,5175,25-30,2 REJAS
9,Yucca filifera,Palma china,21,4.007633588,1575,20-30,1 REJA
