specie,polygon,demand
Agave lechuguilla,1,178
Agave salmiana,1,847
Agave scabra,1,178
Agave striata,1,178
Opuntia cantabrigiensis,1,210
Opuntia engelmani,1,162
Opuntia robusta,1,313
Opuntia streptacanta,1,275
Prosopis laevigata,1,372
Yucca filifera,1,113
Agave lechuguilla,2,248
Agave salmiana,2,1179
Agave scabra,2,248
Agave striata,2,248
Opuntia cantabrigiensis,2,293
Opuntia engelmani,2,225
Opuntia robusta,2,436
Opuntia streptacanta,2,383
Prosopis laevigata,2,518
Yucca filifera,2,158
Agave lechuguilla,3,264
Agave salmiana,3,1254
Agave scabra,3,264
Agave striata,3,264
Opuntia cantabrigiensis,3,312
Opuntia engelmani,3,240
Opuntia robusta,3,463
Opuntia streptacanta,3,408
Prosopis laevigata,3,551
Yucca filifera,3,168
Agave lechuguilla,4,264
Agave salmiana,4,1254
Agave scabra,4,264
Agave striata,4,264
Opuntia cantabrigiensis,4,312
Opuntia engelmani,4,240
Opuntia robusta,4,463
Opuntia streptacanta,4,408
Prosopis laevigata,4,551
Yucca filifera,4,168
Agave lechuguilla,5,249
Agave salmiana,5,1185
Agave scabra,5,249
Agave striata,5,249
Opuntia cantabrigiensis,5,294
Opuntia engelmani,5,227
Opuntia robusta,5,438
Opuntia streptacanta,5,385
Prosopis laevigata,5,521
Yucca filifera,5,159
Agave lechuguilla,6,138
Agave salmiana,6,657
Agave scabra,6,138
Agave striata,6,138
Opuntia cantabrigiensis,6,163
Opuntia engelmani,6,126
Opuntia robusta,6,243
Opuntia streptacanta,6,213
Prosopis laevigata,6,289
Yucca filifera,6,88
Agave lechuguilla,7,207
Agave salmiana,7,985
Agave scabra,7,207
Agave striata,7,207
Opuntia cantabrigiensis,7,245
Opuntia engelmani,7,188
Opuntia robusta,7,364
Opuntia streptacanta,7,320
Prosopis laevigata,7,433
Yucca filifera,7,132
Agave lechuguilla,8,250
Agave salmiana,8,1192
Agave scabra,8,250
Agave striata,8,250
Opuntia cantabrigiensis,8,296
Opuntia engelmani,8,228
Opuntia robusta,8,440
Opuntia streptacanta,8,387
Prosopis laevigata,8,524
Yucca filifera,8,159
Agave lechuguilla,9,264
Agave salmiana,9,1254
Agave scabra,9,264
Agave striata,9,264
Opuntia cantabrigiensis,9,312
Opuntia engelmani,9,240
Opuntia robusta,9,463
Opuntia streptacanta,9,408
Prosopis laevigata,9,551
Yucca filifera,9,168
Agave lechuguilla,10,264
Agave salmiana,10,1254
Agave scabra,10,264
Agave striata,10,264
Opuntia cantabrigiensis,10,312
Opuntia engelmani,10,240
Opuntia robusta,10,463
Opuntia streptacanta,10,408
Prosopis laevigata,10,551
Yucca filifera,10,168
Agave lechuguilla,11,253
Agave salmiana,11,1203
Agave scabra,11,253
Agave striata,11,253
Opuntia cantabrigiensis,11,299
Opuntia engelmani,11,230
Opuntia robusta,11,444
Opuntia streptacanta,11,391
Prosopis laevigata,11,529
Yucca filifera,11,161
Agave lechuguilla,12,48
Agave salmiana,12,231
Agave scabra,12,48
Agave striata,12,48
Opuntia cantabrigiensis,12,57
Opuntia engelmani,12,44
Opuntia robusta,12,85
Opuntia streptacanta,12,75
Prosopis laevigata,12,101
Yucca filifera,12,31
Agave lechuguilla,13,263
Agave salmiana,13,1250
Agave scabra,13,263
Agave striata,13,263
Opuntia cantabrigiensis,13,310
Opuntia engelmani,13,239
Opuntia robusta,13,462
Opuntia streptacanta,13,406
Prosopis laevigata,13,549
Yucca filifera,13,167
Agave lechuguilla,14,197
Agave salmiana,14,938
