Poligono,X,Y,Hectareas
1,-56.0,-1298.0,5.4
2,-602.0,-1030.0,7.52
3,-394.0,-1042.0,8.0
4,-195.0,-1046.0,8.0
5,1.0,-1046.0,7.56
6,-814.0,-932.0,4.19
7,-824.0,-643.0,6.28
8,-600.0,-600.0,7.6
9,-399.0,-639.0,8.0
10,-195.0,-632.0,8.0
11,0.0,-600.0,7.67
12,153.0,-492.0,1.47
13,-794.0,-258.0,7.97
14,-195.0,-258.0,5.98
15,56.0,-334.0,5.4
16,408.0,-158.0,5.64
17,189.0,-43.0,6.11
18,0.0,0.0,7.11
19,600.0,0.0,4.92
20,-931.0,75.0,1.38
21,-808.0,75.0,8.0
22,-604.0,79.0,7.82
23,-403.0,136.0,5.53
24,-206.0,133.0,5.64
25,800.0,200.0,5.05
26,1000.0,400.0,4.75
27,-927.0,445.0,1.28
28,-801.0,434.0,6.64
29,-597.0,431.0,6.54
30,-349.0,380.0,6.76
31,-417.0,-269.0,7.34
