specie,supplier,price
Prosopis laevigata,Vivero,26.5
Yucca filifera,Vivero,26.0
Agave scabra,Moctezuma,26.0
Agave striata,Moctezuma,26.0
Opuntia cantabrigiensis,Moctezuma,17.0
Opuntia robusta,Moctezuma,17.0
Agave striata,Venado,25.0
Opuntia cantabrigiensis,Venado,18.0
Opuntia engelmani,Venado,18.0
Opuntia robusta,Venado,18.0
Opuntia streptacanta,Venado,18.0
Agave lechuguilla,Laguna seca,26.0
Agave salmiana,Laguna seca,26.0
Agave scabra,Laguna seca,26.0
Opuntia engelmani,Laguna seca,21.0
Opuntia robusta,Laguna seca,18.0
